,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
388,cedral,94,MX,1562090309,32,23.82,-100.72,76.07,3.2
389,bowen,40,AU,1562090310,87,-20.01,148.25,62.01,5.82
390,kasongo-lunda,73,CD,1562090310,26,-6.48,16.82,74.45,3.4
391,rhyl,40,GB,1562090310,48,53.32,-3.49,64.4,12.75
392,huambo,0,AO,1562090310,25,-12.78,15.73,59.87,5.28
393,pangnirtung,75,CA,1562090067,57,66.15,-65.72,51.8,3.36
394,pampa,1,US,1562090310,45,35.54,-100.96,82.4,3.36
395,myitkyina,86,MM,1562090311,98,25.38,97.4,72.83,1.05
396,walvis bay,0,NA,1562090043,44,-22.95,14.51,75.2,8.05
397,qarqin,0,AF,1562090311,30,37.41,66.03,84.71,21.54
398,santa cruz de la palma,40,ES,1562090311,69,28.68,-17.76,73.4,17.22
399,tequixquitla,85,MX,1562090311,59,19.33,-97.65,64.91,6.15
400,matara,5,BI,1562090311,71,-3.48,29.48,53.57,1.05
401,sawakin,0,SD,1562090312,23,19.1,37.33,89.93,3.74
402,port hedland,26,AU,1562090084,54,-20.31,118.58,59.0,6.93
403,rocha,100,UY,1562090124,66,-34.48,-54.34,54.29,16.6
404,makat,27,KZ,1562090312,61,47.65,53.35,74.63,15.37
405,tromso,40,NO,1562090312,57,69.65,18.96,51.8,3.36
406,kurumkan,0,RU,1562090312,69,54.33,110.32,54.83,1.72
407,san joaquin,100,PH,1562090022,84,10.59,122.14,75.89,2.24
408,salamiyah,0,SY,1562090313,39,35.01,37.05,75.17,15.73
409,luganville,8,VU,1562090313,96,-15.51,167.18,67.07,1.59
410,arcoverde,64,BR,1562090313,27,-8.42,-37.06,88.67,12.12
411,macau,19,BR,1562090313,67,-5.11,-36.64,82.37,11.77
412,banjar,92,ID,1562090314,92,-7.37,108.54,71.03,0.89
413,gazojak,0,TM,1562090314,26,41.19,61.4,74.63,9.84
414,emerald,90,AU,1562090314,71,-23.53,148.16,57.2,3.36
415,guozhen,55,CN,1562090314,74,29.3,113.14,75.35,6.42
416,ozinki,87,RU,1562090314,84,51.2,49.73,69.23,7.09
417,torbat-e jam,0,IR,1562090314,35,35.24,60.63,66.17,22.32
418,rafsanjan,14,IR,1562090315,29,30.4,55.99,79.67,15.23
419,poum,0,MK,1562090029,39,41.28,20.71,84.2,2.19
420,komsomolskiy,98,RU,1562090062,59,67.55,63.78,70.49,7.78
421,sambava,100,MG,1562090315,93,-14.27,50.17,67.07,2.68
422,bafq,0,IR,1562090315,33,31.6,55.4,78.77,8.66
423,camocim,15,BR,1562090315,49,-2.9,-40.84,89.03,7.43
424,almaznyy,0,RU,1562090315,57,48.03,40.04,78.8,15.66
425,srostki,0,RU,1562090316,89,52.42,85.7,53.03,1.48
426,santa maria del oro,0,MX,1562090316,19,25.95,-105.37,83.45,7.94
427,lukoyanov,36,RU,1562090316,85,55.03,44.48,59.33,5.84
428,charters towers,12,AU,1562090080,88,-20.07,146.27,56.27,3.11
429,moanda,96,CD,1562090316,79,-5.93,12.38,72.83,8.66
430,pinega,81,RU,1562090317,67,64.7,43.39,62.21,5.57
431,suoyarvi,17,RU,1562090317,68,62.08,32.35,61.49,3.44
432,yeppoon,90,AU,1562090317,82,-23.13,150.74,62.6,6.93
433,turukhansk,28,RU,1562090317,62,65.8,87.96,63.83,5.44
434,krasnyy yar,36,RU,1562090317,81,50.7,44.73,69.23,11.56
435,barquisimeto,75,VE,1562090317,54,10.07,-69.32,82.4,9.17
436,gonaives,50,HT,1562090318,76,19.45,-72.68,82.91,6.2
437,artigas,0,BR,1562090318,56,-30.4,-56.46,59.69,4.54
438,shingu,100,JP,1562090060,99,33.72,135.99,64.73,0.76
439,port blair,100,IN,1562090141,81,11.67,92.75,83.81,20.85
440,golspie,75,GB,1562090318,67,57.97,-3.98,57.2,14.99
441,paamiut,79,GL,1562090081,89,61.99,-49.67,38.99,14.41
442,kajaani,0,FI,1562090318,51,64.22,27.73,62.6,10.29
443,uhlove,0,UA,1562090319,73,44.82,33.6,72.83,16.22
444,bella vista,50,AR,1562090319,59,-27.03,-65.31,60.8,4.7
445,vung tau,100,VN,1562090319,83,10.35,107.08,79.49,13.13
446,abu dhabi,0,AE,1562090053,56,24.47,54.37,95.0,3.36
447,makarska,0,HR,1562090319,21,43.3,17.02,95.0,11.41
448,meadow lake,75,CA,1562090319,67,54.13,-108.44,59.0,20.8
449,husavik,64,CA,1562090106,44,50.56,-96.99,75.99,8.01
450,pareora,100,NZ,1562090320,86,-44.49,171.21,48.0,3.0
451,lengshuijiang,64,CN,1562090320,75,27.66,111.45,70.13,3.69
452,biskamzha,97,RU,1562090320,99,53.45,89.53,48.17,1.86
453,san cristobal,17,HN,1562090099,36,14.68,-86.92,84.89,12.93
454,martapura,98,ID,1562090320,88,-3.41,114.85,77.33,6.4
455,salalah,75,OM,1562090072,89,17.01,54.1,84.2,10.29
456,binzhou,100,CN,1562090320,77,37.38,117.96,77.0,3.6
457,shakhtinsk,75,KZ,1562090321,63,49.71,72.59,64.4,8.95
458,kenda,75,DZ,1562090321,49,35.66,5.57,77.0,21.92
459,porbandar,79,IN,1562090321,85,21.64,69.61,82.19,12.53
460,flin flon,90,CA,1562090021,67,54.77,-101.88,57.2,14.99
461,nabire,75,ID,1562090321,99,-3.36,135.5,69.23,3.15
462,san borja,48,BO,1562090321,54,-14.86,-66.75,86.33,6.96
463,plettenberg bay,41,ZA,1562090064,51,-34.05,23.37,60.59,6.78
464,arman,99,RU,1562090322,94,59.7,150.17,46.19,2.39
465,bollnas,96,SE,1562090322,44,61.35,16.39,55.01,6.31
466,oranjestad,40,AW,1562090158,62,12.52,-70.03,89.6,20.8
467,tecoanapa,75,MX,1562090124,79,16.99,-99.26,86.0,4.7
468,channel-port aux basques,100,CA,1562090322,94,47.57,-59.14,51.23,11.07
469,siva,0,GR,1562090323,78,35.21,25.04,78.01,2.24
470,lyubim,100,RU,1562090323,91,58.36,40.69,56.63,6.2
471,puerto madero,0,AR,1562090282,58,-34.61,-58.36,57.2,8.05
472,dosso,35,NE,1562090091,28,13.05,3.19,101.09,4.72
473,policoro,5,IT,1562090323,66,40.21,16.68,89.01,8.05
474,sola,0,TZ,1562090122,48,-3.17,33.8,69.95,4.65
475,peshkopi,0,AL,1562090323,69,41.68,20.43,84.2,4.7
476,brighton,0,GB,1562090128,52,50.82,-0.14,71.6,5.82
477,cam ranh,40,VN,1562090045,66,11.92,109.15,84.2,16.11
478,port-gentil,40,GA,1562090139,83,-0.72,8.78,75.2,13.87
479,todos santos,5,MX,1562090119,40,23.45,-110.23,95.0,5.68
480,jinchang,60,CN,1562090324,39,38.52,102.19,69.95,2.28
481,mogadishu,18,SO,1562090053,77,2.04,45.34,76.07,12.1
482,poso,100,ID,1562090324,81,-1.4,120.75,62.57,1.52
483,banda aceh,91,ID,1562090324,72,5.56,95.32,84.89,15.35
484,mayo,75,CA,1562090324,82,63.59,-135.9,64.4,4.7
485,kem,38,UG,1562090325,88,2.68,33.77,66.53,3.2
486,laguna,40,BZ,1562090061,63,16.17,-88.94,91.4,6.93
487,soe,35,EE,1562090325,72,57.91,26.05,62.6,16.11
488,majene,100,ID,1562090053,75,-3.54,118.97,80.03,14.41
489,wembley,20,CA,1562090325,51,55.15,-119.14,62.6,16.11
490,touros,75,BR,1562090103,78,-5.2,-35.46,80.6,14.99
491,shakawe,0,BW,1562090325,25,-18.36,21.84,56.09,6.31
492,tongliao,92,CN,1562090326,51,43.61,122.27,70.49,6.44
493,puerto del rosario,20,ES,1562090326,64,28.5,-13.86,75.2,23.04
494,sorong,99,ID,1562090326,95,-0.86,131.25,74.63,5.06
495,inuvik,75,CA,1562090326,62,68.36,-133.71,57.2,11.41
496,port lincoln,0,AU,1562090062,74,-34.72,135.86,58.07,6.31
497,frutal,0,BR,1562090327,27,-20.02,-48.93,84.71,9.04
498,kramat,93,ID,1562090327,91,-7.04,112.64,72.29,5.41
499,saint-augustin,20,CA,1562090054,44,45.63,-73.98,84.99,2.24
500,tautira,75,PF,1562090327,83,-17.73,-149.15,75.2,2.24
501,askarovo,90,RU,1562090327,100,53.34,58.51,59.0,4.47
502,porto walter,8,BR,1562090327,41,-8.27,-72.74,93.35,2.66
503,ust-tsilma,100,RU,1562090328,92,65.44,52.15,61.31,8.01
504,naze,66,NG,1562090328,91,5.43,7.07,77.15,5.44
505,maragogi,80,BR,1562090126,77,-9.01,-35.22,78.77,8.84
506,saint anthony,75,US,1562090042,40,43.97,-111.68,78.01,11.41
507,oltu,0,TR,1562090328,76,40.55,42.0,51.77,3.51
508,vestmannaeyjar,75,IS,1562090103,71,63.44,-20.27,53.6,13.87
509,beira,75,ES,1562090328,82,43.2,-8.36,75.0,11.41
510,talnakh,0,RU,1562090048,42,69.49,88.39,64.4,4.47
511,port shepstone,0,ZA,1562090329,45,-30.74,30.45,54.83,5.75
512,port hueneme,40,US,1562090329,77,34.15,-119.2,82.99,8.05
513,yarmouth,40,CA,1562090329,77,43.84,-66.12,64.99,8.05
514,tooele,1,US,1562090237,14,40.53,-112.3,91.4,17.22
515,cartagena,20,ES,1562090329,69,37.63,-1.0,84.2,9.17
516,antofagasta,75,CL,1562090316,72,-23.65,-70.4,59.0,2.24
517,krasnyy chikoy,47,RU,1562090330,70,50.36,108.75,56.63,3.31
518,raudeberg,75,NO,1562090104,76,61.99,5.14,48.2,18.34
519,caceres,30,CO,1562090330,50,5.53,-74.53,83.09,4.99
520,puerto carreno,40,CO,1562090330,78,6.19,-67.49,80.6,3.36
521,zharkent,0,KZ,1562090330,31,44.17,80.0,58.43,4.45
522,bereda,75,ES,1562090330,82,43.27,-7.54,66.2,11.41
523,mahibadhoo,100,MV,1562090331,63,3.78,72.97,83.81,4.79
524,huilong,39,CN,1562090331,64,31.15,106.5,77.15,2.28
525,vardo,40,US,1562090331,52,39.62,-77.74,93.99,5.82
526,vredendal,61,ZA,1562090331,83,-31.68,18.49,56.09,10.22
527,purpe,19,RU,1562090332,84,64.48,76.69,59.0,11.56
528,bartica,75,GY,1562090332,66,6.41,-58.62,87.8,16.11
529,murray,1,US,1562090237,23,40.67,-111.89,91.4,20.8
530,san juan de uraba,55,CO,1562090332,78,8.76,-76.53,82.01,5.23
531,okhotsk,100,RU,1562090332,90,59.36,143.24,47.99,12.53
532,redlands,1,US,1562090202,38,34.06,-117.19,86.0,3.36
533,yerbogachen,95,RU,1562090143,80,61.28,108.01,55.91,4.41
534,kuryk,0,KZ,1562090333,56,43.18,51.68,74.45,14.65
535,pandamatenga,0,BW,1562090333,24,-18.54,25.64,58.07,6.49
536,pauini,2,BR,1562090333,36,-7.71,-67.0,94.43,3.04
537,veraval,0,FR,1562090333,52,49.65,0.71,71.01,13.87
538,dawlatabad,0,AF,1562090333,30,36.41,64.91,79.31,17.69
539,topolobampo,40,MX,1562090333,55,25.6,-109.05,93.99,18.34
540,amlimay,100,PH,1562090334,89,16.69,120.84,70.49,4.76
541,muli,40,CN,1562090334,71,28.08,109.56,69.23,4.29
542,ojinaga,1,US,1562090334,26,29.56,-104.41,95.0,5.82
543,kamaishi,54,JP,1562090334,95,39.28,141.86,54.83,4.12
544,rafraf,0,TN,1562090334,33,37.19,10.18,89.6,11.41
545,presidencia roque saenz pena,99,AR,1562090335,66,-26.79,-60.44,62.57,5.26
546,maxixe,20,MZ,1562090335,72,-23.86,35.35,68.0,2.24
547,dharan,20,NP,1562090335,87,26.81,87.28,71.75,1.43
548,havre,40,US,1562090140,71,48.55,-109.68,55.99,4.7
549,alekseyevsk,77,RU,1562090335,68,57.84,108.35,68.69,9.28
550,alta floresta,40,BR,1562090335,34,-9.87,-56.08,93.2,5.82
551,itamaraju,19,BR,1562090336,78,-17.04,-39.53,76.61,7.23
552,fermoy,75,IE,1562090336,72,52.14,-8.28,61.0,3.36
553,haines junction,99,CA,1562090336,66,60.75,-137.51,63.47,4.45
554,doclin,0,RO,1562090336,49,45.3,21.65,91.4,6.93
555,gannan,58,CN,1562090336,89,47.92,123.49,57.71,5.91
556,palaikastron,0,GR,1562090337,67,35.2,26.25,78.01,1.99
557,bulgan,100,MN,1562090130,80,48.81,103.53,56.27,0.92
558,half moon bay,40,US,1562090337,82,37.46,-122.43,75.99,16.11
